SN,Total_Feedback_Given,Total_Configured,Questions,Weightage_1,Weightage_2,Weightage_3,Weightage_4,Weightage_5,Average/_Percentage,Course_Name,Basic_Course,Weighted_Average,Average_Percentage,Derived_Sentiment,Synthetic_Feedback,TextBlob_Sentiment,VADER_Sentiment
18,12,175,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,2,4,5,,FYBSC,BACHELOR OF SCIENCE,4.083333333333333,81.66666666666667,Positive,The course was very good and the teaching was effective.,Positive,Positive
19,12,175,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",6,1,1,3,1,,FYBSC,BACHELOR OF SCIENCE,2.3333333333333335,46.666666666666664,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
20,12,175,The overall quality of the teaching-learning process in your institute is very good.,0,1,3,4,4,,FYBSC,BACHELOR OF SCIENCE,3.9166666666666665,78.33333333333333,Positive,The course was very good and the teaching was effective.,Positive,Positive
1,5,15,How much of the syllabus was covered in the class?,0,0,2,3,0,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,3.6,72.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
2,5,15,How well did the teachers prepare for the classes?,0,0,0,5,0,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
3,5,15,How well were the teachers able to communicate?,0,0,1,4,0,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,3.8,76.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
4,5,15,The teachers approach to teaching can best be described as,0,0,2,3,0,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,3.6,72.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
5,5,15,Fairness of the internal evaluation process by the teachers.,0,0,0,3,2,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,4.4,88.00000000000001,Positive,The course was very good and the teaching was effective.,Positive,Positive
6,5,15,Was your performance in assignments discussed with you?,0,0,2,0,3,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,4.2,84.00000000000001,Positive,The course was very good and the teaching was effective.,Positive,Positive
7,5,15,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,3,1,1,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,3.6,72.0,Neutral,The course was average and could be improved.,Negative,Positive
8,5,15,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,3,1,1,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,3.6,72.0,Neutral,The course was average and could be improved.,Negative,Positive
9,5,15,The institution provides multiple opportunities to learn and grow.,0,0,4,1,0,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,3.2,64.0,Neutral,The course was average and could be improved.,Negative,Positive
10,5,15,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,3,2,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,4.4,88.00000000000001,Positive,The course was very good and the teaching was effective.,Positive,Positive
11,5,15,Your mentor does a necessary follow-up with an assigned task to you.,0,0,2,1,2,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
12,5,15,The teachers illustrate the concepts through examples and applications.,0,0,1,2,2,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,4.2,84.00000000000001,Positive,The course was very good and the teaching was effective.,Positive,Positive
13,5,15,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,1,0,4,0,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,3.6,72.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
14,5,15,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,1,3,0,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,3.4,68.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
15,5,15,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,3,2,0,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,3.4,68.0,Neutral,The course was average and could be improved.,Negative,Positive
16,5,15,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,1,4,0,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,3.8,76.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
17,5,15,Teachers encourage you to participate in extracurricular activities.,0,0,0,5,0,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
18,5,15,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,3,2,0,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,3.4,68.0,Neutral,The course was average and could be improved.,Negative,Positive
19,5,15,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,1,3,1,0,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
20,5,15,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,2,0,,MA PSYCHOLOGY - 1,MA PSYCHOLOGY,3.4,68.0,Neutral,The course was average and could be improved.,Negative,Positive
1,7,20,How much of the syllabus was covered in the class?,0,3,1,2,1,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.142857142857143,62.857142857142854,Neutral,The course was average and could be improved.,Negative,Positive
2,7,20,How well did the teachers prepare for the classes?,0,2,2,2,1,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.2857142857142856,65.71428571428571,Positive,The course was very good and the teaching was effective.,Positive,Positive
3,7,20,How well were the teachers able to communicate?,0,1,3,1,2,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.5714285714285716,71.42857142857143,Neutral,The course was average and could be improved.,Negative,Positive
4,7,20,The teachers approach to teaching can best be described as,0,2,3,1,1,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.142857142857143,62.857142857142854,Neutral,The course was average and could be improved.,Negative,Positive
5,7,20,Fairness of the internal evaluation process by the teachers.,0,0,0,4,3,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,4.428571428571429,88.57142857142858,Positive,The course was very good and the teaching was effective.,Positive,Positive
6,7,20,Was your performance in assignments discussed with you?,1,0,4,0,2,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.2857142857142856,65.71428571428571,Neutral,The course was average and could be improved.,Negative,Positive
7,7,20,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,2,1,3,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.857142857142857,77.14285714285715,Positive,The course was very good and the teaching was effective.,Positive,Positive
8,7,20,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,2,0,3,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.4285714285714284,68.57142857142857,Positive,The course was very good and the teaching was effective.,Positive,Positive
9,7,20,The institution provides multiple opportunities to learn and grow.,0,0,4,1,2,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.7142857142857144,74.28571428571429,Neutral,The course was average and could be improved.,Negative,Positive
10,7,20,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",1,0,2,3,1,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.4285714285714284,68.57142857142857,Positive,The course was very good and the teaching was effective.,Positive,Positive
11,7,20,Your mentor does a necessary follow-up with an assigned task to you.,0,1,2,1,3,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.857142857142857,77.14285714285715,Positive,The course was very good and the teaching was effective.,Positive,Positive
12,7,20,The teachers illustrate the concepts through examples and applications.,0,0,2,2,3,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,4.142857142857143,82.85714285714286,Positive,The course was very good and the teaching was effective.,Positive,Positive
13,7,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,2,0,2,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,2.857142857142857,57.14285714285714,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
14,7,20,Teachers are able to identify your weaknesses and help you to overcome them.,1,4,1,0,1,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,2.4285714285714284,48.57142857142856,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
15,7,20,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,3,3,1,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.7142857142857144,74.28571428571429,Positive,The course was very good and the teaching was effective.,Positive,Positive
16,7,20,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,1,2,2,2,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.7142857142857144,74.28571428571429,Positive,The course was very good and the teaching was effective.,Positive,Positive
17,7,20,Teachers encourage you to participate in extracurricular activities.,0,0,4,2,1,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.5714285714285716,71.42857142857143,Neutral,The course was average and could be improved.,Negative,Positive
18,7,20,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,2,3,1,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.5714285714285716,71.42857142857143,Positive,The course was very good and the teaching was effective.,Positive,Positive
19,7,20,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",3,0,2,1,1,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,2.5714285714285716,51.42857142857144,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
20,7,20,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,3,1,,MA PSYCHOLOGY - 3,MA PSYCHOLOGY,3.7142857142857144,74.28571428571429,Positive,The course was very good and the teaching was effective.,Positive,Positive
1,4,24,How much of the syllabus was covered in the class?,0,0,1,1,2,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.25,85.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
2,4,24,How well did the teachers prepare for the classes?,0,0,1,3,0,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.75,75.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
3,4,24,How well were the teachers able to communicate?,0,0,1,3,0,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.75,75.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
4,4,24,The teachers approach to teaching can best be described as,0,2,0,2,0,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
5,4,24,Fairness of the internal evaluation process by the teachers.,0,0,1,3,0,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.75,75.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
6,4,24,Was your performance in assignments discussed with you?,0,0,1,2,1,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
7,4,24,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",1,2,0,0,1,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,2.5,50.0,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
8,4,24,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",1,1,0,2,0,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,2.75,55.00000000000001,Neutral,The course was average and could be improved.,Negative,Positive
9,4,24,The institution provides multiple opportunities to learn and grow.,0,0,2,2,0,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.5,70.0,Neutral,The course was average and could be improved.,Negative,Positive
10,4,24,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,2,1,0,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
11,4,24,Your mentor does a necessary follow-up with an assigned task to you.,1,1,1,0,1,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,2.75,55.00000000000001,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
12,4,24,The teachers illustrate the concepts through examples and applications.,0,0,1,2,1,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
13,4,24,The teachers identify your strengths and encourage you to provide the proper level of challenges.,1,2,0,0,1,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,2.5,50.0,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
14,4,24,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,2,0,1,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.25,65.0,Neutral,The course was average and could be improved.,Negative,Positive
15,4,24,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,1,2,0,1,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.25,65.0,Neutral,The course was average and could be improved.,Negative,Positive
16,4,24,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,2,1,1,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.75,75.0,Neutral,The course was average and could be improved.,Negative,Positive
17,4,24,Teachers encourage you to participate in extracurricular activities.,0,0,1,2,1,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
18,4,24,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,1,3,0,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.75,75.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
19,4,24,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,0,3,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,4.5,90.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
20,4,24,The overall quality of the teaching-learning process in your institute is very good.,0,0,3,1,0,,M.SC PART - 1 COMPUTER SCIENCE,MSC COMPUTER SCIENCE,3.25,65.0,Neutral,The course was average and could be improved.,Negative,Positive
1,2,42,How much of the syllabus was covered in the class?,0,0,0,0,2,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
2,2,42,How well did the teachers prepare for the classes?,0,0,0,0,2,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
3,2,42,How well were the teachers able to communicate?,0,0,0,0,2,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
4,2,42,The teachers approach to teaching can best be described as,0,0,1,0,1,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.0,80.0,Neutral,The course was average and could be improved.,Negative,Positive
5,2,42,Fairness of the internal evaluation process by the teachers.,0,0,0,1,1,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,90.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
6,2,42,Was your performance in assignments discussed with you?,0,0,0,1,1,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,90.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
7,2,42,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,1,0,1,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.0,80.0,Neutral,The course was average and could be improved.,Negative,Positive
8,2,42,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,1,1,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,90.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
9,2,42,The institution provides multiple opportunities to learn and grow.,0,0,1,1,0,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,3.5,70.0,Neutral,The course was average and could be improved.,Negative,Positive
10,2,42,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,1,1,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,90.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
11,2,42,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,0,2,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
12,2,42,The teachers illustrate the concepts through examples and applications.,0,0,0,0,2,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
13,2,42,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,0,2,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
14,2,42,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,1,0,1,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.0,80.0,Neutral,The course was average and could be improved.,Negative,Positive
15,2,42,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,1,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,90.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
16,2,42,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,0,2,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
17,2,42,Teachers encourage you to participate in extracurricular activities.,0,0,0,1,1,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,90.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
18,2,42,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,0,0,0,2,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
19,2,42,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,1,0,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,3.5,70.0,Neutral,The course was average and could be improved.,Negative,Positive
20,2,42,The overall quality of the teaching-learning process in your institute is very good.,0,0,0,1,1,,MSC ANALYTICAL CHEMISTRY SEM I,MSC ANALYTICAL CHEMISTRY,4.5,90.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
1,3,20,How much of the syllabus was covered in the class?,0,1,1,1,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
2,3,20,How well did the teachers prepare for the classes?,0,0,1,2,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.6666666666666665,73.33333333333333,Positive,The course was very good and the teaching was effective.,Positive,Positive
3,3,20,How well were the teachers able to communicate?,0,1,0,2,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.3333333333333335,66.66666666666667,Positive,The course was very good and the teaching was effective.,Positive,Positive
4,3,20,The teachers approach to teaching can best be described as,0,1,1,1,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
5,3,20,Fairness of the internal evaluation process by the teachers.,0,0,1,2,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.6666666666666665,73.33333333333333,Positive,The course was very good and the teaching was effective.,Positive,Positive
6,3,20,Was your performance in assignments discussed with you?,0,1,2,0,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.6666666666666665,53.333333333333336,Neutral,The course was average and could be improved.,Negative,Positive
7,3,20,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,1,2,0,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.6666666666666665,53.333333333333336,Neutral,The course was average and could be improved.,Negative,Positive
8,3,20,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",2,1,0,0,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,1.3333333333333333,26.666666666666668,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
9,3,20,The institution provides multiple opportunities to learn and grow.,0,1,2,0,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.6666666666666665,53.333333333333336,Neutral,The course was average and could be improved.,Negative,Positive
10,3,20,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,1,0,2,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.3333333333333335,66.66666666666667,Positive,The course was very good and the teaching was effective.,Positive,Positive
11,3,20,Your mentor does a necessary follow-up with an assigned task to you.,1,0,2,0,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.3333333333333335,46.666666666666664,Neutral,The course was average and could be improved.,Negative,Positive
12,3,20,The teachers illustrate the concepts through examples and applications.,1,2,0,0,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,1.6666666666666667,33.333333333333336,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
13,3,20,The teachers identify your strengths and encourage you to provide the proper level of challenges.,2,1,0,0,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,1.3333333333333333,26.666666666666668,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
14,3,20,Teachers are able to identify your weaknesses and help you to overcome them.,0,1,2,0,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.6666666666666665,53.333333333333336,Neutral,The course was average and could be improved.,Negative,Positive
15,3,20,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,2,0,1,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.6666666666666665,53.333333333333336,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
16,3,20,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,2,0,1,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.6666666666666665,53.333333333333336,Negative,The course was poorly delivered and difficult to understand.,Negative,Negative
17,3,20,Teachers encourage you to participate in extracurricular activities.,0,0,3,0,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
18,3,20,"Efforts are made by the institute/ teachers to inculcate soft skills, life skills and employability skills to make you ready for the world of work.",0,1,1,1,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.0,60.0,Neutral,The course was average and could be improved.,Negative,Positive
19,3,20,"What percentage of teachers use ICT tools such as LCD projectors, Multimedia, etc. while teaching?",0,0,1,2,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,3.6666666666666665,73.33333333333333,Positive,The course was very good and the teaching was effective.,Positive,Positive
20,3,20,The overall quality of the teaching-learning process in your institute is very good.,1,0,2,0,0,,MSC DATA SCIENCE - 1,MSC DATA SCIENCE,2.3333333333333335,46.666666666666664,Neutral,The course was average and could be improved.,Negative,Positive
1,1,21,How much of the syllabus was covered in the class?,0,0,0,0,1,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
2,1,21,How well did the teachers prepare for the classes?,0,0,0,1,0,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
3,1,21,How well were the teachers able to communicate?,0,0,0,0,1,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
4,1,21,The teachers approach to teaching can best be described as,0,0,0,0,1,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
5,1,21,Fairness of the internal evaluation process by the teachers.,0,0,0,0,1,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
6,1,21,Was your performance in assignments discussed with you?,0,0,0,0,1,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
7,1,21,"The institute takes an active interest in promoting internships, student exchange, field visit opportunities for students.",0,0,0,0,1,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
8,1,21,"The teaching and mentoring process in your institution facilitates you in cognitive, social and
emotional growth.",0,0,0,1,0,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
9,1,21,The institution provides multiple opportunities to learn and grow.,0,0,0,0,1,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
10,1,21,"Teachers inform you about your expected competencies, course outcomes and program
outcomes.",0,0,0,0,1,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
11,1,21,Your mentor does a necessary follow-up with an assigned task to you.,0,0,0,1,0,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
12,1,21,The teachers illustrate the concepts through examples and applications.,0,0,0,0,1,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,5.0,100.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
13,1,21,The teachers identify your strengths and encourage you to provide the proper level of challenges.,0,0,0,1,0,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
14,1,21,Teachers are able to identify your weaknesses and help you to overcome them.,0,0,0,1,0,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
15,1,21,"The institution makes effort to engage students in the monitoring, review and continuous quality improvement of the teaching-learning process.",0,0,0,1,0,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
16,1,21,"The institute/ teachers use student-centric methods, such as experiential learning, participative learning and problem-solving methodologies for enhancing learning experiences.",0,0,0,1,0,,MSC INFORMATION TECHNOLOGY - 1,MSC INFORMATION TECHNOLOGY,4.0,80.0,Positive,The course was very good and the teaching was effective.,Positive,Positive
